month,position,artist,song,score,us,uk,de,fr,ca,au
Feb-19,35,A Boogie Wit da Hoodie & 6ix9ine,Swervin,684.99,39,27,-,-,27,-
Feb-19,36,Juice WRLD,Lucid Dreams (Forget Me),653.337,23,-,-,184,26,-
Feb-19,37,Dean Lewis,Be Alright,650.577,43,-,-,37,34,15
Feb-19,38,Chris Brown,Undecided,648.191,54,16,-,-,-,-
Feb-19,39,Ariana Grande,"Break Up With Your Girlfriend, I'm",609.758,2,1,8,16,2,2
Feb-19,40,"Cardi B, Bad Bunny & J Balvin",I Like It,598.023,30,-,-,131,35,-
Feb-19,41,Luke Combs,Beautiful Crazy,589.9,36,-,-,-,55,-
Feb-19,42,Lauren Daigle,You Say,584.56,35,-,-,-,61,-
Feb-19,43,Calvin Harris & Rag'n'Bone Man,Giant,578.037,-,4,7,24,34,25
Feb-19,44,Ariana Grande,Breathin,551.524,18,-,-,-,27,-
Feb-19,45,City Girls & Cardi B,Twerk,542.098,29,-,-,-,70,-
Feb-19,46,Calboy,Envy Me,530.21,41,-,-,-,88,-
Feb-19,47,Billie Eilish,When The Party's Over,522.213,61,70,-,194,37,22
Feb-19,48,Pardison Fontaine & Cardi B,Backin' It Up,521.001,40,-,-,-,-,-
Feb-19,49,Kehlani & Ty Dolla Sign,Nights Like This,515.447,69,30,-,-,63,41
Feb-19,50,Scotty McCreery,This Is It,513.187,42,-,-,-,87,-
Mar-19,1,Ariana Grande,7 Rings,3318.874,1,4,10,2,1,1
Mar-19,2,Lady Gaga & Bradley Cooper,Shallow,2343.642,1,11,4,3,1,1
Mar-19,3,Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse),1690.713,2,29,-,92,3,2
Mar-19,4,Halsey,Without Me,1689.848,2,47,-,70,3,9
Mar-19,5,Ava Max,Sweet But Psycho,1519.197,20,12,3,8,14,7
Mar-19,6,Ariana Grande,"Break Up With Your Girlfriend, I'm",1497.218,2,3,-,20,2,2
Mar-19,7,Post Malone,Wow.,1493.107,4,14,-,124,5,2
Mar-19,8,Marshmello & Bastille,Happier,1479.035,6,44,-,47,2,14
Mar-19,9,Jonas Brothers,Sucker,1478.562,1,4,-,56,1,1
Mar-19,10,Cardi B & Bruno Mars,Please Me,1474.015,3,13,-,116,12,22
Mar-19,11,J Cole,Middle Child,1345.801,5,21,-,-,8,25
Mar-19,12,Panic! At the Disco,High Hopes,1312.4,8,37,-,15,9,-
Mar-19,13,Blueface,Thotiana,1255.045,9,15,-,167,12,-
Mar-19,14,Sam Smith & Normani,Dancing With A Stranger,1252.182,17,5,-,37,10,6
Mar-19,15,Travi$ Scott,Sicko Mode,1248.685,7,72,-,115,8,12
Mar-19,16,Ariana Grande,"Thank U, Next",1225.527,3,-,-,39,4,7
Mar-19,17,"Benny Blanco, Halsey & Khalid",Eastside,1157.512,10,57,-,-,13,17
Mar-19,18,Meek Mill & Drake,Going Bad,1148.494,10,16,-,126,12,36
Mar-19,19,YNW Melly,Murder On My Mind,1114.277,14,20,-,-,9,-
Mar-19,20,Maroon 5 & Cardi B,Girls Like You,1008.846,12,86,-,72,11,49
Mar-19,21,Billie Eilish,Bury A Friend,995.659,32,9,-,82,14,4
Mar-19,22,21 Savage,A Lot,935.814,15,46,-,-,25,-
Mar-19,23,Khalid,Better,884.44,18,-,-,-,23,27
Mar-19,24,Khalid,Talk,879.013,41,12,-,136,28,7
Mar-19,25,Dean Lewis,Be Alright,871.187,23,-,-,34,30,28
Mar-19,26,Juice WRLD,Robbery,865.542,27,39,-,-,22,41
Mar-19,27,Bad Bunny & Drake,Mia,863.298,24,-,-,17,44,-
Mar-19,28,Post Malone,Better Now,845.532,27,87,-,-,26,40
Mar-19,29,Lil Baby & Gunna,Drip Too Hard,840.476,16,-,-,-,36,-
Mar-19,30,Cardi B,Money,837.678,16,-,-,-,57,-
Mar-19,31,Pinkfong,Baby Shark,804.26,34,33,-,-,39,-
Mar-19,32,"Kodak Black, Travi$ Scott & Offset",Zeze,795.89,22,88,-,165,38,-
Mar-19,33,Luke Combs,Beautiful Crazy,788.703,23,-,-,-,39,-
Mar-19,34,5 Seconds of Summer,Youngblood,777.171,26,-,-,-,20,33
Mar-19,35,A Boogie Wit da Hoodie,Look Back At It,774.736,35,67,-,95,23,41
Mar-19,36,A Boogie Wit da Hoodie & 6ix9ine,Swervin,769.772,43,27,-,-,24,-
Mar-19,37,"DJ Snake, Selena Gomez, Ozuna & Cardi B",Taki Taki,749.974,38,-,-,15,28,-
Mar-19,38,Calvin Harris & Rag'n'Bone Man,Giant,743.782,-,2,6,18,29,24
Mar-19,39,Lauren Daigle,You Say,706.36,29,-,-,-,52,-
Mar-19,40,"Ellie Goulding, Diplo & Swae Lee",Close To Me,705.626,28,-,-,-,25,-
Mar-19,41,Daddy Yankee & Snow,Con Calma,700.233,48,85,-,102,49,-
Mar-19,42,Mustard & Migos,Pure Water,695.835,34,62,-,-,20,45
Mar-19,43,Dan & Shay,Tequila,682.133,31,-,-,-,-,-
Mar-19,44,"Cardi B, Bad Bunny & J Balvin",I Like It,655.043,33,-,-,149,44,-
Mar-19,45,Juice WRLD,Lucid Dreams (Forget Me),653.434,36,-,-,-,36,-
Mar-19,46,Calboy,Envy Me,623.174,39,-,-,-,69,-
Mar-19,47,Kehlani & Ty Dolla Sign,Nights Like This,591.322,67,25,-,-,61,43
Mar-19,48,"Gucci Mane, Bruno Mars & Kodak Black",Wake Up In The Sky,578.692,35,-,-,-,-,-
Mar-19,49,City Girls & Cardi B,Twerk,563.965,45,-,-,-,-,-
Mar-19,50,YNW Melly & Kanye West,Mixed Personalities,553.113,43,-,-,-,51,-
